date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:31	93/93	---M-Z	200	added ('OK')	text/plain	etag:%22b0b013f34c7871cde55180c1c84c9c8a%22	https://www.lauralarrosa.com/robots.txt		(from )
11:16:32	413529/413529	---M-Z	200	added ('OK')	text/html	etag:%2228b9f4cb7d847ff96729a5c670074e0d%22	https://www.lauralarrosa.com/	./laura-site/www.lauralarrosa.com/index.html	(from )
11:16:33	363849/363849	---M-Z	200	added ('OK')	text/html	etag:%2278704a539d77ff6665029ba1a0ddb941%22	https://www.lauralarrosa.com/projects	./laura-site/www.lauralarrosa.com/projects.html	(from https://www.lauralarrosa.com/)
11:16:34	289788/289788	---M-Z	200	added ('OK')	text/html	etag:%22ae1477860c4fb19d2053a65779fff367%22	https://www.lauralarrosa.com/about	./laura-site/www.lauralarrosa.com/about.html	(from https://www.lauralarrosa.com/)
11:16:35	394673/394673	---M-Z	200	added ('OK')	text/html	etag:%227dda65a8ab7e3fb186b2fbc18fbe6903%22	https://www.lauralarrosa.com/es/home	./laura-site/www.lauralarrosa.com/es/home.html	(from https://www.lauralarrosa.com/)
11:16:36	289216/289216	---M-Z	200	added ('OK')	text/html	etag:%22e46581d9091b4a463c29f0cf908eb152%22	https://www.lauralarrosa.com/lumen-design-system	./laura-site/www.lauralarrosa.com/lumen-design-system.html	(from https://www.lauralarrosa.com/)
11:16:37	278926/278926	---M-Z	200	added ('OK')	text/html	etag:%2202a2d344c0120b23c904dacb951ec156%22	https://www.lauralarrosa.com/mamby-casestudy	./laura-site/www.lauralarrosa.com/mamby-casestudy.html	(from https://www.lauralarrosa.com/)
11:16:38	261312/261312	---M-Z	200	added ('OK')	text/html	etag:%220fea2334f9f16bc227618c1632e92fe2%22	https://www.lauralarrosa.com/babs-casestudy	./laura-site/www.lauralarrosa.com/babs-casestudy.html	(from https://www.lauralarrosa.com/)
11:16:39	249124/249124	---M-Z	200	added ('OK')	text/html	etag:%227ef659d8f14349064226b7076e92ddc1%22	https://www.lauralarrosa.com/spanish-casestudy	./laura-site/www.lauralarrosa.com/spanish-casestudy.html	(from https://www.lauralarrosa.com/)
11:16:40	258965/258965	---M-Z	200	added ('OK')	text/html	etag:%22b355b7f04ac6c78347f6ae8feaa9bfd4%22	https://www.lauralarrosa.com/realty-casestudy	./laura-site/www.lauralarrosa.com/realty-casestudy.html	(from https://www.lauralarrosa.com/)
11:16:41	194458/194458	---M-Z	200	added ('OK')	text/html	etag:%22dcee103a9b47400b19ccef59d677ccb0%22	https://www.lauralarrosa.com/cookie-policy	./laura-site/www.lauralarrosa.com/cookie-policy.html	(from https://www.lauralarrosa.com/)
11:16:42	363481/363481	---M-Z	200	added ('OK')	text/html	etag:%2217790f8cf2d6a31371d43a5fda5d894f%22	https://www.lauralarrosa.com/es/projects	./laura-site/www.lauralarrosa.com/es/projects.html	(from https://www.lauralarrosa.com/projects)
11:16:43	289492/289492	---M-Z	200	added ('OK')	text/html	etag:%22682d510db347b0b35a42463afa229343%22	https://www.lauralarrosa.com/es/about	./laura-site/www.lauralarrosa.com/es/about.html	(from https://www.lauralarrosa.com/about)
11:16:44	289742/289742	---M-Z	200	added ('OK')	text/html	etag:%2220a86fc266d5260e99e07a6267439618%22	https://www.lauralarrosa.com/es/lumen-design-system	./laura-site/www.lauralarrosa.com/es/lumen-design-system.html	(from https://www.lauralarrosa.com/es/home)
11:16:45	279045/279045	---M-Z	200	added ('OK')	text/html	etag:%224a7d1819c3804f1df2752b3cc4713ee2%22	https://www.lauralarrosa.com/es/mamby-casestudy	./laura-site/www.lauralarrosa.com/es/mamby-casestudy.html	(from https://www.lauralarrosa.com/es/home)
11:16:46	261560/261560	---M-Z	200	added ('OK')	text/html	etag:%2271deb7a1c2d26e7d7e14571335895ea6%22	https://www.lauralarrosa.com/es/babs-casestudy	./laura-site/www.lauralarrosa.com/es/babs-casestudy.html	(from https://www.lauralarrosa.com/es/home)
11:16:47	249337/249337	---M-Z	200	added ('OK')	text/html	etag:%220f39ee595ff937b2986f9c659e0dea65%22	https://www.lauralarrosa.com/es/spanish-casestudy	./laura-site/www.lauralarrosa.com/es/spanish-casestudy.html	(from https://www.lauralarrosa.com/es/home)
11:16:48	259812/259812	---M-Z	200	added ('OK')	text/html	etag:%221b5f81e35b44843de8cf5aa299048dd3%22	https://www.lauralarrosa.com/es/realty-casestudy	./laura-site/www.lauralarrosa.com/es/realty-casestudy.html	(from https://www.lauralarrosa.com/es/home)
11:16:49	195066/195066	---M-Z	200	added ('OK')	text/html	etag:%22600170cb979c67d9dc41ed511defe10e%22	https://www.lauralarrosa.com/es/cookie-policy	./laura-site/www.lauralarrosa.com/es/cookie-policy.html	(from https://www.lauralarrosa.com/es/home)
11:16:50	280118/280118	---M-Z	200	added ('OK')	text/html	etag:%2203c5f5965337eb2e1ee32ac478d3defe%22	https://www.lauralarrosa.com/mamby-casestudy/editor	./laura-site/www.lauralarrosa.com/mamby-casestudy/editor.html	(from https://www.lauralarrosa.com/mamby-casestudy)
11:16:51	255892/255892	---M-Z	200	added ('OK')	text/html	etag:%22d61df2405ca41b76ff2f250621bdfc01%22	https://www.lauralarrosa.com/mamby-casestudy/dashboard	./laura-site/www.lauralarrosa.com/mamby-casestudy/dashboard.html	(from https://www.lauralarrosa.com/mamby-casestudy)
11:16:52	275961/275961	---M-Z	200	added ('OK')	text/html	etag:%22b5e468d6c7f3a7e51e600332f2325904%22	https://www.lauralarrosa.com/mamby-casestudy/es/editor	./laura-site/www.lauralarrosa.com/mamby-casestudy/es/editor.html	(from https://www.lauralarrosa.com/es/mamby-casestudy)
11:16:53	257274/257274	---M-Z	200	added ('OK')	text/html	etag:%223348891bc61d6ab103ef759dbc75da01%22	https://www.lauralarrosa.com/mamby-casestudy/es/dashboard	./laura-site/www.lauralarrosa.com/mamby-casestudy/es/dashboard.html	(from https://www.lauralarrosa.com/es/mamby-casestudy)
